OrderID,OrderDate,CustomerName,Age,City,Product,Category,Quantity,UnitPrice,Discount,TotalSales,PaymentMode,OrderStatus
36,2025-01-26,Aarav,28.0,Bhopal,Phone,Electronics,1,38510,5,36584.5,UPI,Cancelled
37,2025-10-17,Ayesha,29.0,Bhopal,Laptop,Electronics,7,39694,15,236179.3,UPI,Processing
38,2025-04-10,Zoya,28.0,Mumbai,Printer,Office,8,51442,10,370382.4,UPI,Delivered
39,2025-04-01, Rehan ,27.0,Chennai,Printer,Office,2,N/A,0,52982.0,UPI,Delivered
40,2025-08-05,Najrin,36.0,Chennai,Laptop,Electronics,6,55134,15,281183.4,Card,Delivered
41,2025-09-30, Najrin ,18.0,Pune,Phone,Electronics,7,45943,5,305520.95,UPI,Cancelled
42,2025-11-23,Zoya,24.0,Chennai,Printer,Office,4,19329,10,69584.40000000001,UPI,Delivered
43,2025-11-15,Aarav,22.0,Jaipur,Laptop,Electronics,1,43304,15,36808.4,Cash,Delivered
44,2025-01-25,Ayesha,38.0,Pune,Printer,Office,3,1735,5,4944.75,UPI,Processing
45,2025-04-14,Kabir,33.0,Jaipur,printer,Office,1,8714,0,8714.0,UPI,Delivered
46,2025-01-29,Riya,25.0,Pune,Printer,Office,2,1458,15,2478.6,Card,Cancelled
47,2025-04-04,Rehan,21.0,,Phone,Electronics,1,46555,15,39571.75,Card,Processing
48,2025-08-22,Ayesha,29.0,Delhi,Printer,Office,8,32535,10,234252.0,Card,Delivered
49,2025-03-13,Najrin,34.0,Mumbai,Laptop,Electronics,8,1371,5,10419.6,Cash,Delivered
50,2025-09-26,Najrin,27.0,Delhi,Laptop,Electronics,5,46728,10,210276.0,UPI,Cancelled
51,2025-05-13,Rehan,50.0,Mumbai,Laptop,Electronics,1,40399,0,40399.0,Card,Delivered
52,2025-10-02, Aarav ,31.0,Mumbai,Keyboard,Accessories,7,10390,0,72730.0,Cash,Cancelled
53,2025-12-09,Diya,48.0,Bhopal,Printer,Office,8,12004,5,91230.4,UPI,Processing
54,2025-11-08,Riya,46.0,Pune,Phone,Electronics,6,33704,15,171890.4,UPI,Delivered
55,2025-09-08,Rehan,28.0,Jaipur,Keyboard,Accessories,4,32916,10,118497.6,Card,Cancelled
56,2025-10-12,Rehan,27.0,Pune,Keyboard,Accessories,6,9013,0,54078.0,Cash,Delivered
57,2025-12-11,Ayesha,51.0,Chennai,Laptop,Electronics,7,40471,0,283297.0,Card,Cancelled
58,2025-01-19,Riya,20.0,Delhi,Keyboard,Accessories,7,15013,15,89327.34999999999,Card,Cancelled
59,2025-02-16,Diya,22.0,Bhopal,Printer,Office,7,20903,5,139004.95,Card,Delivered
60,2025-11-19,Rehan,52.0,Pune,phone,Electronics,4,47644,5,181047.2,Cash,Delivered
61,2025-09-21,Zoya,60.0,Jaipur,Phone,Electronics,2,N/A,5,67588.7,Card,Cancelled
62,2025-10-03,Riya,22.0,Pune,Printer,Office,8,6315,5,47994.0,UPI,Processing
63,2025-04-02,Riya,41.0,Jaipur,Phone,Electronics,4,22386,10,80589.6,Card,Processing
64,2025-03-21,Aarav,49.0,Jaipur,Keyboard,Accessories,6,821,10,4433.400000000001,Card,Processing
65,2025-09-14,Aarav,44.0,Pune,Keyboard,Accessories,8,11668,0,93344.0,Cash,Processing
66,2025-02-17,Diya,47.0,Mumbai,laptop,Electronics,7,35318,0,247226.0,UPI,Cancelled
67,2025-10-09,Najrin,,,Laptop,Electronics,7,N/A,15,48171.2,Cash,Delivered
68,2025-07-21,Aarav,46.0,Jaipur,Printer,Office,7,N/A,5,133518.7,Cash,Delivered
69,2025-04-27,Zoya,49.0,Chennai,Printer,Office,five,20287,15,120707.65,Card,Delivered
70,2025-09-14,Ayesha,58.0,Pune,Printer,Office,5,N/A,5,59569.75,UPI,Processing
71,2025-11-05,Riya,51.0,Delhi,Laptop,Electronics,1,N/A,15,9586.3,Cash,Delivered
72,2025-04-11,Aarav,28.0,Jaipur,Keyboard,Accessories,1,33538,5,31861.1,UPI,Delivered
73,2025-03-14,Zoya,47.0,Bhopal,Laptop,Electronics,7,41868,10,263768.4,Cash,Delivered
74,2025-03-21,Najrin,20.0,Mumbai,Phone,Electronics,2,34266,15,58252.2,Cash,Processing
75,2025-06-13,Rehan,39.0,Chennai,Keyboard,Accessories,7,N/A,0,29393.0,Cash,Cancelled
76,2025-07-04,Zoya,,Jaipur,Keyboard,Accessories,2,10836,5,20588.4,Card,Processing
77,2025-05-28,Kabir,18.0,Pune,Printer,Office,1,50502,5,47976.89999999999,UPI,Processing
78,2025-07-04,Rehan,25.0,,Phone,Electronics,4,59718,0,238872.0,Cash,Delivered
79,2025-10-09,Najrin,49.0,Delhi,Laptop,Electronics,4,57180,5,217284.0,UPI,Processing
80,2025-07-27,Kabir,45.0,Pune,Phone,Electronics,7,27619,5,183666.35,UPI,Cancelled
81,2025-12-26,Ayesha,48.0,Pune,Phone,Electronics,five,53069,0,212276.0,Card,Cancelled
82,2025-09-25,Riya,,Delhi,Printer,Office,1,40106,5,38100.7,Card,Cancelled
83,2025-10-18,Ayesha,,Jaipur,Phone,Electronics,8,16401,15,111526.8,Cash,Processing
84,2025-09-18,Diya,44.0,Chennai,Laptop,Electronics,4,4366,0,17464.0,Card,Delivered
85,2025-05-19,Kabir,35.0,Pune,Keyboard,Accessories,5,35560,10,160020.0,UPI,Processing
86,2025-10-18,Riya,22.0,Delhi,Printer,Office,2,26933,0,53866.0,UPI,Cancelled
87,2025-03-11,Rehan,33.0,Jaipur,Printer,Office,2,11755,0,23510.0,Cash,Cancelled
88,2025-12-03,Najrin,27.0,Pune,Laptop,Electronics,8,46578,0,372624.0,Card,Delivered
89,2025-01-18,Zoya,51.0,Jaipur,Keyboard,Accessories,6,19643,5,111965.1,Cash,Cancelled
90,2025-06-20,Ayesha,22.0,Bhopal,Keyboard,Accessories,6,46568,0,279408.0,Cash,Cancelled
91,2025-07-12,Ayesha,47.0,Jaipur,Printer,Office,3,18490,0,55470.0,UPI,Cancelled
92,2025-11-13,Riya,18.0,Jaipur,Keyboard,Accessories,7,58296,10,367264.8,UPI,Processing
93,2025-04-07,Riya,,Delhi,Phone,Electronics,3,4463,10,12050.1,Cash,Processing
94,2025-07-06,Najrin,34.0,Delhi,Phone,Electronics,6,56049,0,336294.0,Card,Delivered
95,2025-10-16,Kabir,46.0,,Phone,Electronics,5,36853,10,165838.5,UPI,Cancelled
96,2025-08-09,Ayesha,47.0,Chennai,Laptop,Electronics,6,22422,15,114352.2,Cash,Processing
97,2025-10-02,Zoya,18.0,Bhopal,Keyboard,Accessories,8,12463,5,94718.79999999999,Cash,Processing
98,2025-06-14,Najrin,24.0,Bhopal,Laptop,Electronics,2,7498,10,13496.4,Cash,Delivered
99,2025-04-01,Riya,18.0,Chennai,Keyboard,Accessories,3,22953,5,65416.05,Card,Cancelled
100,2025-12-22,Diya,28.0,Bhopal,Laptop,Electronics,6,59944,15,305714.4,UPI,Processing
101,2025-01-29,Zoya,54.0,Mumbai,Laptop,Electronics,5,33846,5,160768.5,Card,Cancelled
102,2025-02-23,Riya,49.0,Pune,keyboard,Accessories,5,3624,15,15402.0,UPI,Delivered
103,2025-07-12,Aarav,48.0,Jaipur,Printer,Office,1,2497,5,2372.15,Card,Processing
104,2025-07-27,Kabir,55.0,Chennai,Printer,Office,7,16056,10,101152.8,Card,Delivered
105,2025-07-04,Aarav,54.0,Delhi,Phone,Electronics,five,9136,5,8679.199999999999,Cash,Delivered
106,2025-02-08,Zoya,44.0,Pune,Laptop,Electronics,8,24727,0,197816.0,Card,Delivered
107,2025-04-01,Kabir,40.0,,Keyboard,Accessories,3,57588,15,146849.4,Cash,Delivered
108,2025-03-06,Zoya,22.0,Bhopal,Phone,Electronics,8,51282,15,348717.6,Cash,Delivered
109,2025-09-02,Najrin,20.0,Bhopal,Laptop,Electronics,2,23615,15,40145.5,UPI,Delivered
110,2025-12-15,Riya,26.0,Delhi,Phone,Electronics,7,58588,0,410116.0,UPI,Processing
111,2025-01-24,Rehan,41.0,Bhopal,Keyboard,Accessories,7,17145,15,102012.75,UPI,Cancelled
112,2025-10-05,Aarav,47.0,Mumbai,Laptop,Electronics,7,55093,10,347085.9,Cash,Cancelled
113,2025-10-07,Aarav,21.0,Bhopal,Printer,Office,5,21597,5,102585.75,UPI,Processing
114,2025-09-11,Diya,41.0,Mumbai,Keyboard,Accessories,1,42264,10,38037.6,Card,Delivered
115,2025-09-21,Najrin,25.0,Pune,Keyboard,Accessories,1,9185,0,9185.0,Cash,Delivered
116,2025-07-01,Aarav,56.0,Bhopal,Printer,Office,7,41444,15,246591.8,Cash,Cancelled
117,2025-01-04,Riya,36.0,Mumbai,Keyboard,Accessories,6,41595,10,224613.0,Cash,Cancelled
118,2025-02-19,Zoya,27.0,Mumbai,Printer,Office,6,44632,10,241012.8,UPI,Cancelled
119,2025-12-17,Rehan,19.0,Delhi,Phone,Electronics,7,50907,5,338531.55,UPI,Delivered
120,2025-02-13,Ayesha,41.0,Delhi,Phone,Electronics,1,42582,0,42582.0,UPI,Processing
121,2025-05-01,Diya,53.0,Pune,Printer,Office,8,17626,0,141008.0,UPI,Cancelled
122,2025-02-22,Kabir,54.0,Chennai,Laptop,Electronics,7,42845,10,269923.5,UPI,Processing
123,2025-11-05,Diya,37.0,Pune,Phone,Electronics,4,29917,5,113684.6,Cash,Cancelled
124,2025-06-15,Najrin,30.0,Jaipur,Laptop,Electronics,five,8798,15,52348.1,Cash,Delivered
125,2025-07-06,Riya,54.0,Pune,Keyboard,Accessories,7,58469,5,388818.85,Cash,Processing
126,2025-12-30,Diya,34.0,Delhi,Phone,Electronics,7,35837,0,250859.0,UPI,Cancelled
127,2025-04-25,Najrin,32.0,Delhi,Laptop,Electronics,1,46062,15,39152.7,Cash,Cancelled
128,2025-09-14,Aarav,24.0,Mumbai,Printer,Office,5,3709,5,17617.75,Cash,Processing
129,2025-05-25,Zoya,57.0,Chennai,Printer,Office,1,40352,5,38334.4,UPI,Cancelled
130,2025-04-17,Diya,20.0,Chennai,Phone,Electronics,5,49838,10,224271.0,Cash,Cancelled
131,2025-11-03,Ayesha,59.0,Delhi,Phone,Electronics,4,26359,10,94892.40000000001,Cash,Processing
132,2025-10-20,Rehan,46.0,Bhopal,Printer,Office,6,56110,5,319827.0,Cash,Cancelled
133,2025-07-21,Aarav,19.0,Pune,Printer,Office,8,11606,0,92848.0,Cash,Delivered
134,2025-01-18,Zoya,55.0,Mumbai,Laptop,Electronics,4,46473,0,185892.0,Card,Cancelled
135,2025-11-28,Riya,52.0,Mumbai,Keyboard,Accessories,3,47210,0,141630.0,Card,Processing
136,2025-05-04,Riya,60.0,Jaipur,Laptop,Electronics,4,32968,0,131872.0,UPI,Delivered
137,2025-11-29,Riya,26.0,Chennai,Phone,Electronics,2,30883,0,61766.0,UPI,Delivered
138,2025-02-07,Aarav,24.0,Jaipur,Printer,Office,2,39477,5,75006.3,Card,Delivered
139,2025-04-13,Diya,58.0,Chennai,Keyboard,Accessories,3,35251,10,95177.7,Cash,Delivered
140,2025-09-14,Kabir,45.0,Mumbai,printer,Office,8,38686,10,278539.2,Card,Processing
141,2025-01-01,Ayesha,18.0,Bhopal,Keyboard,Accessories,2,40471,15,68800.7,Cash,Processing
142,2025-08-09,Diya,37.0,Mumbai,Keyboard,Accessories,3,57175,0,171525.0,UPI,Processing
143,2025-11-21,Najrin,29.0,Mumbai,Laptop,Electronics,6,55055,10,297297.0,Cash,Processing
144,2025-09-23,Diya,34.0,Pune,Keyboard,Accessories,7,16814,0,117698.0,Card,Processing
145,2025-04-27,Najrin,33.0,Delhi,Phone,Electronics,3,12947,0,38841.0,UPI,Processing
146,2025-05-16,Zoya,25.0,Bhopal,Laptop,Electronics,7,45555,10,286996.5,UPI,Processing
147,2025-07-29,Rehan,44.0,Chennai,Laptop,Electronics,6,22327,0,133962.0,Card,Cancelled
148,2025-02-23,Rehan,52.0,Chennai,Laptop,Electronics,7,8343,15,49640.85,Card,Delivered
149,2025-07-18,Diya,34.0,Delhi,Phone,Electronics,5,23481,10,105664.5,Card,Cancelled
150,2025-05-05,Diya,45.0,Jaipur,Keyboard,Accessories,4,25447,0,101788.0,Card,Processing
151,2025-03-02,Diya,47.0,Jaipur,Keyboard,Accessories,6,52428,5,298839.6,Card,Delivered
152,2025-01-09,Zoya,58.0,Bhopal,Printer,Office,5,10249,5,48682.75,Cash,Processing
153,2025-02-01,Ayesha,54.0,,Keyboard,Accessories,8,1502,10,10814.4,UPI,Cancelled
154,2025-12-07,Najrin,29.0,Chennai,Phone,Electronics,3,5322,5,15167.7,UPI,Processing
155,2025-06-18,Ayesha,46.0,Bhopal,Laptop,Electronics,6,46685,5,266104.5,Card,Delivered
156,2025-12-17,Aarav,51.0,Pune,Keyboard,Accessories,2,24338,10,43808.4,Card,Processing
157,2025-03-11,Zoya,23.0,Pune,Keyboard,Accessories,5,30693,15,130445.25,UPI,Delivered
158,2025-09-21,Ayesha,49.0,Jaipur,Keyboard,Accessories,7,56897,5,378365.05,Cash,Cancelled
159,2025-04-28,Aarav,31.0,Jaipur,Laptop,Electronics,2,N/A,5,7163.0,Card,Processing
160,2025-09-09, Rehan ,18.0,Jaipur,Printer,Office,1,5581,10,5022.900000000001,Cash,Delivered
161,2025-04-27,Rehan,45.0,Mumbai,Laptop,Electronics,4,51823,10,186562.8,Cash,Cancelled
162,2025-07-24,Zoya,29.0,Chennai,Laptop,Electronics,2,N/A,0,14896.0,UPI,Cancelled
163,2025-10-24,Aarav,21.0,,Keyboard,Accessories,5,45201,15,192104.25,Card,Cancelled
164,2025-09-20,Ayesha,54.0,Delhi,Phone,Electronics,6,32216,15,164301.6,Cash,Processing
165,2025-07-18,Zoya,33.0,Jaipur,Keyboard,Accessories,3,9703,5,27653.55,UPI,Cancelled
166,2025-12-23,Ayesha,33.0,Delhi,Laptop,Electronics,3,51860,0,155580.0,Card,Processing
167,2025-02-25,Zoya,29.0,Chennai,Laptop,Electronics,8,54984,0,439872.0,UPI,Delivered
168,2025-10-07,Riya,33.0,Pune,Printer,Office,6,5467,15,27881.7,UPI,Delivered
169,2025-12-20,Zoya,42.0,Chennai,Keyboard,Accessories,8,57010,15,387668.0,Card,Cancelled
170,2025-06-21,Zoya,57.0,Bhopal,Keyboard,Accessories,five,36212,0,217272.0,UPI,Delivered
171,2025-06-01,Riya,22.0,Bhopal,Keyboard,Accessories,2,29135,5,55356.5,Cash,Processing
172,2025-09-17,Diya,44.0,Jaipur,Phone,Electronics,3,36174,0,108522.0,Card,Delivered
173,2025-05-01,Rehan,43.0,Pune,Printer,Office,5,10646,15,45245.5,Cash,Processing
174,2025-07-28,Aarav,43.0,Pune,Laptop,Electronics,7,5086,0,35602.0,UPI,Processing
175,2025-08-10,Diya,29.0,Jaipur,Laptop,Electronics,7,34181,5,227303.65,Cash,Delivered
176,2025-12-21,Ayesha,46.0,Chennai,Laptop,Electronics,8,2146,15,14592.8,Cash,Processing
177,2025-09-27,Zoya,47.0,Pune,Laptop,Electronics,4,35249,0,140996.0,Cash,Delivered
178,2025-11-09,Kabir,48.0,Jaipur,Phone,Electronics,5,20692,15,87941.0,Cash,Cancelled
179,2025-09-13,Najrin,28.0,Bhopal,Laptop,Electronics,7,21587,0,151109.0,Cash,Processing
180,2025-02-26,Zoya,25.0,Pune,Phone,Electronics,6,15001,0,90006.0,Card,Cancelled
181,2025-08-22,Diya,38.0,Mumbai,Keyboard,Accessories,3,37319,10,100761.3,UPI,Delivered
182,2025-12-29,Ayesha,37.0,,Printer,Office,4,19996,0,79984.0,Cash,Cancelled
183,2025-09-23,Kabir,43.0,Pune,Laptop,Electronics,1,12662,10,11395.8,Cash,Cancelled
184,2025-12-04,Aarav,,Chennai,Laptop,Electronics,7,26475,0,185325.0,UPI,Delivered
185,2025-02-12,Diya,39.0,Chennai,Keyboard,Accessories,8,35566,0,284528.0,Cash,Processing
186,2025-07-23,Diya,56.0,Chennai,Phone,Electronics,3,52724,5,150263.4,Card,Delivered
187,2025-10-18,Riya,56.0,Jaipur,Laptop,Electronics,8,57207,10,411890.4,Cash,Delivered
188,2025-10-23,Rehan,58.0,Mumbai,Keyboard,Accessories,6,49122,0,294732.0,UPI,Delivered
189,2025-10-20,Ayesha,50.0,Pune,Printer,Office,1,43250,15,36762.5,Card,Delivered
190,2025-12-09,Kabir,45.0,Chennai,Keyboard,Accessories,4,25620,5,97356.0,Card,Cancelled
191,2025-07-17,Zoya,21.0,Pune,Printer,Office,8,38747,10,278978.4,Cash,Delivered
192,2025-09-24,Najrin,42.0,Jaipur,Printer,Office,8,N/A,15,205305.6,UPI,Delivered
193,2025-05-20,Riya,33.0,Jaipur,Laptop,Electronics,7,39634,15,235822.3,Cash,Cancelled
194,2025-07-02,Zoya,21.0,Bhopal,Laptop,Electronics,7,58234,0,407638.0,Cash,Cancelled
195,2025-04-30,Zoya,30.0,,Phone,Electronics,3,1407,10,3798.9,Card,Delivered
196,2025-04-08,Zoya,38.0,Bhopal,Keyboard,Accessories,7,7212,0,50484.0,Cash,Processing
197,2025-08-27,Najrin,38.0,Bhopal,Printer,Office,1,26649,10,23984.1,Cash,Delivered
198,2025-11-12,Riya,37.0,Bhopal,Printer,Office,1,50566,10,45509.4,Cash,Delivered
199,2025-12-22,Zoya,51.0,Delhi,Printer,Office,6,50080,15,255408.0,Cash,Processing
200,2025-12-27,Diya,20.0,Jaipur,Printer,Office,8,12974,5,98602.4,UPI,Cancelled
201,2025-03-19,Zoya,27.0,Chennai,Keyboard,Accessories,8,14842,10,106862.4,UPI,Delivered
202,2025-10-13,Aarav,60.0,Jaipur,Phone,Electronics,5,41873,15,177960.25,Cash,Delivered
203,2025-04-03, Riya ,44.0,Jaipur,Keyboard,Accessories,6,12533,10,67678.2,Cash,Delivered
204,2025-10-22,Riya,53.0,Jaipur,Keyboard,Accessories,5,49397,0,246985.0,Cash,Cancelled
205,2025-04-12,Riya,48.0,Delhi,Printer,Office,1,33875,5,32181.25,Card,Cancelled
206,2025-07-03,Najrin,19.0,Jaipur,Printer,Office,3,42179,15,107556.45,Cash,Processing
207,2025-03-06,Najrin,21.0,Delhi,Laptop,Electronics,6,11561,10,62429.4,Cash,Delivered
208,2025-02-12,Rehan,41.0,Chennai,Printer,Office,5,12691,5,60282.25,Card,Processing
209,2025-06-17,Kabir,56.0,Chennai,Keyboard,Accessories,8,6758,5,51360.8,Cash,Cancelled
210,2025-12-23,Najrin,49.0,Jaipur,Keyboard,Accessories,1,25701,10,23130.9,Card,Cancelled
211,2025-12-03,Rehan,54.0,Pune,Keyboard,Accessories,2,38743,15,65863.09999999999,Cash,Delivered
212,2025-12-31,Aarav,,Pune,Phone,Electronics,6,48952,10,264340.8,Cash,Processing
213,2025-08-13,Diya,22.0,Delhi,Keyboard,Accessories,4,43384,0,173536.0,UPI,Delivered
214,2025-09-23, Ayesha ,45.0,Chennai,Keyboard,Accessories,7,17240,0,120680.0,Cash,Delivered
215,2025-07-05,Diya,40.0,Pune,Keyboard,Accessories,7,58322,10,367428.6,Cash,Cancelled
216,2025-10-04,Kabir,18.0,Jaipur,Phone,Electronics,4,7351,10,26463.6,Card,Processing
217,2025-08-06,Aarav,49.0,Bhopal,Printer,Office,6,35217,10,190171.8,Card,Cancelled
218,2025-05-09,Kabir,44.0,Chennai,Laptop,Electronics,2,44531,5,84608.9,UPI,Delivered
219,2025-03-19,Zoya,53.0,Delhi,Laptop,Electronics,5,31021,15,131839.25,UPI,Cancelled
220,2025-01-18,Riya,18.0,Mumbai,Phone,Electronics,1,38745,15,32933.25,Card,Processing
221,2025-09-14,Aarav,22.0,Bhopal,Phone,Electronics,2,24159,5,45902.1,Card,Delivered
222,2025-12-29,Zoya,44.0,Delhi,Laptop,Electronics,1,56176,10,50558.4,Cash,Cancelled
223,2025-12-19,Aarav,22.0,Chennai,Keyboard,Accessories,7,30924,5,205644.6,Cash,Processing
224,2025-09-24,Zoya,23.0,Mumbai,Keyboard,Accessories,1,2912,0,2912.0,Card,Delivered
225,2025-12-05,Ayesha,46.0,Chennai,Printer,Office,4,37385,0,149540.0,Cash,Delivered
226,2025-03-20,Najrin,44.0,Chennai,Laptop,Electronics,8,7646,15,51992.8,Cash,Delivered
227,2025-03-27,Rehan,29.0,Jaipur,Phone,Electronics,5,30901,10,139054.5,UPI,Processing
228,2025-07-04,Kabir,41.0,,Laptop,Electronics,3,15174,15,38693.7,Card,Delivered
229,2025-08-01,Kabir,54.0,Jaipur,Phone,Electronics,five,28084,5,53359.6,Cash,Delivered
230,2025-05-08,Kabir,42.0,Jaipur,Phone,Electronics,1,33396,15,28386.6,UPI,Delivered
231,2025-02-22,Zoya,30.0,Mumbai,Keyboard,Accessories,2,12490,10,22482.0,Card,Cancelled
232,2025-06-30,Diya,28.0,,Laptop,Electronics,4,9617,5,36544.6,Card,Processing
233,2025-04-26,Rehan,44.0,Jaipur,Keyboard,Accessories,3,55441,15,141374.55,Cash,Cancelled
234,2025-07-09,Aarav,18.0,Chennai,Phone,Electronics,2,3148,5,5981.2,Cash,Processing
235,2025-05-30,Rehan,19.0,Delhi,Keyboard,Accessories,4,29234,0,116936.0,UPI,Delivered
236,2025-12-26,Najrin,18.0,Delhi,Printer,Office,8,52009,5,395268.4,UPI,Cancelled
237,2025-04-14,Aarav,22.0,Mumbai,Printer,Office,5,18495,0,92475.0,UPI,Delivered
238,2025-03-13,Aarav,24.0,Pune,printer,Office,8,50529,15,343597.2,Cash,Processing
239,2025-10-21,Diya,23.0,Mumbai,Laptop,Electronics,five,59469,10,374654.7,Card,Delivered
240,2025-07-01,Rehan,45.0,Jaipur,Phone,Electronics,3,56257,5,160332.45,Card,Cancelled
241,2025-03-06,Diya,46.0,Bhopal,Keyboard,Accessories,2,529,15,899.3,Cash,Cancelled
242,2025-07-30,Najrin,52.0,Pune,Phone,Electronics,1,55843,0,55843.0,Cash,Cancelled
243,2025-06-25,Zoya,25.0,Jaipur,printer,Office,1,N/A,0,39962.0,Cash,Processing
244,2025-03-26,Aarav,26.0,Chennai,Phone,Electronics,5,55358,5,262950.5,Cash,Delivered
245,2025-11-22,Ayesha,,Chennai,Printer,Office,6,57463,10,310300.2,Card,Delivered
246,2025-02-18,Zoya,47.0,Jaipur,Phone,Electronics,7,18698,15,111253.1,Card,Processing
247,2025-07-19,Riya,59.0,Bhopal,Keyboard,Accessories,2,8012,5,15222.8,Card,Cancelled
248,2025-04-18,Riya,33.0,,Phone,Electronics,2,29438,10,52988.4,Cash,Cancelled
249,2025-06-07,Zoya,54.0,Jaipur,Printer,Office,3,48546,10,131074.2,UPI,Cancelled
250,2025-01-13,Zoya,50.0,Jaipur,Keyboard,Accessories,7,19589,5,130266.85,Cash,Cancelled
251,2025-09-19,Aarav,56.0,Delhi,Phone,Electronics,5,43716,0,218580.0,Cash,Delivered
252,2025-02-07,Diya,,Mumbai,Phone,Electronics,6,16041,15,81809.09999999999,Card,Cancelled
253,2025-04-16,Zoya,,Bhopal,Phone,Electronics,1,49611,15,42169.35,Cash,Delivered
254,2025-06-27,Ayesha,35.0,Mumbai,Phone,Electronics,8,59375,10,427500.0,Card,Cancelled
255,2025-12-18,Diya,41.0,Mumbai,Keyboard,Accessories,5,9336,0,46680.0,Card,Cancelled
256,2025-08-08,Zoya,35.0,Jaipur,Printer,Office,6,35233,5,200828.1,Cash,Delivered
257,2025-12-24,Aarav,33.0,Pune,Keyboard,Accessories,2,18012,10,32421.6,Card,Delivered
258,2025-04-07,Diya,30.0,Mumbai,Printer,Office,2,21137,5,40160.3,Card,Processing
259,2025-10-27,Kabir,33.0,Bhopal,Printer,Office,6,16143,5,92015.09999999999,Cash,Cancelled
260,2025-01-04,Najrin,23.0,Bhopal,Laptop,Electronics,8,51534,0,412272.0,Card,Delivered
261,2025-10-02,Ayesha,44.0,,Keyboard,Accessories,5,36406,5,172928.5,UPI,Processing
